dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.4274014949798586,0.045944090154076876,0.05990071296691894,0.007387527195560976,0.37130617726080023,0.7161945555726732,150,496,"OrderedDict([('model__max_features', 0.37130617726080023), ('model__max_samples', 0.7161945555726732), ('model__min_samples_leaf', 150), ('model__n_estimators', 496)])",0.817,0.821,0.817,0.816,0.833,0.8208,0.006337191807101949,40
0,12.970162916183472,0.2173745559338635,0.08314690589904786,0.009982467752253504,0.2171367416676266,0.5,1,500,"OrderedDict([('model__max_features', 0.2171367416676266), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.84,0.847,0.824,0.857,0.842,0.8419999999999999,0.010751744044572499,19
0,28.43699197769165,0.38155848014159727,0.09422073364257813,0.011053710377162218,0.2817250783772475,1.0,1,500,"OrderedDict([('model__max_features', 0.2817250783772475), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.84,0.844,0.827,0.858,0.844,0.8426,0.009911609354691103,14
0,0.8432509899139404,0.005630536145066246,0.02185535430908203,0.0019992953844428204,0.5723666776099471,0.623137175004661,193,111,"OrderedDict([('model__max_features', 0.5723666776099471), ('model__max_samples', 0.623137175004661), ('model__min_samples_leaf', 193), ('model__n_estimators', 111)])",0.813,0.822,0.815,0.817,0.834,0.8201999999999998,0.007520638270785272,41
0,28.272946643829346,0.3024235863372706,0.05332317352294922,0.0076910532027921405,0.8814998920213841,0.9892455411874165,3,347,"OrderedDict([('model__max_features', 0.8814998920213841), ('model__max_samples', 0.9892455411874165), ('model__min_samples_leaf', 3), ('model__n_estimators', 347)])",0.839,0.838,0.822,0.855,0.843,0.8394,0.010594338110519233,29
0,9.68601198196411,0.10309852910153063,0.08075890541076661,0.00888580092795799,0.12477889111854935,0.6144652186791737,1,447,"OrderedDict([('model__max_features', 0.12477889111854935), ('model__max_samples', 0.6144652186791737), ('model__min_samples_leaf', 1), ('model__n_estimators', 447)])",0.843,0.842,0.824,0.85,0.85,0.8417999999999999,0.009516301802696263,20
0,20.351035642623902,0.19335041461876257,0.0966484546661377,0.012528318831022029,0.18429349990770116,1.0,1,500,"OrderedDict([('model__max_features', 0.18429349990770116), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.845,0.846,0.827,0.858,0.846,0.8443999999999999,0.009931767214348118,3
0,4.132601070404053,0.06279644315620747,0.026097583770751952,0.002347729650278862,0.18271479342564462,1.0,1,100,"OrderedDict([('model__max_features', 0.18271479342564462), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.846,0.843,0.825,0.85,0.84,0.8408000000000001,0.00856504524214555,27
0,5.343034029006958,0.053676068589080625,0.02659893035888672,0.0014229428100026214,0.38963495193999703,0.9119379186733279,2,117,"OrderedDict([('model__max_features', 0.38963495193999703), ('model__max_samples', 0.9119379186733279), ('model__min_samples_leaf', 2), ('model__n_estimators', 117)])",0.839,0.841,0.826,0.859,0.84,0.841,0.010526157893552624,26
0,15.373613214492797,0.23459726646663107,0.061463356018066406,0.0051631017955418084,0.25022338308308956,1.0,1,299,"OrderedDict([('model__max_features', 0.25022338308308956), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 299)])",0.841,0.846,0.825,0.856,0.852,0.844,0.01078888316740895,6
0,13.297178030014038,0.11879306743467748,0.08807330131530762,0.00830066148297031,0.21287334921422177,0.5,1,500,"OrderedDict([('model__max_features', 0.21287334921422177), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.84,0.841,0.824,0.855,0.85,0.842,0.010601886624558866,15
0,27.268888807296754,0.3889891147028913,0.10782580375671387,0.01257304271325941,0.2573688701013184,1.0,1,500,"OrderedDict([('model__max_features', 0.2573688701013184), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.843,0.841,0.828,0.854,0.844,0.842,0.008318653737234175,15
1,0.7770345687866211,0.018588161234259673,0.01911478042602539,0.0029140365944395836,0.410104548749355,0.8638628715886625,233,226,"OrderedDict([('model__max_features', 0.410104548749355), ('model__max_samples', 0.8638628715886625), ('model__min_samples_leaf', 233), ('model__n_estimators', 226)])",0.844,0.86,0.839,0.872,0.87,0.857,0.01338656042454522,43
1,4.817708969116211,0.046376918179479164,0.04023442268371582,0.0056018676155265325,0.8373885181649289,0.9416576386904312,77,480,"OrderedDict([('model__max_features', 0.8373885181649289), ('model__max_samples', 0.9416576386904312), ('model__min_samples_leaf', 77), ('model__n_estimators', 480)])",0.866,0.879,0.875,0.878,0.886,0.8768,0.0064930732322991775,36
1,2.032294416427612,0.01592756322332636,0.03107914924621582,0.00380147203541207,0.4448330674686395,0.9593612608346885,27,273,"OrderedDict([('model__max_features', 0.4448330674686395), ('model__max_samples', 0.9593612608346885), ('model__min_samples_leaf', 27), ('model__n_estimators', 273)])",0.926,0.93,0.916,0.93,0.927,0.9258000000000001,0.005153639490690055,28
1,2.314865064620972,0.014840257345271614,0.03201794624328613,0.0017062764514893416,0.812396175961375,0.5859357806982803,150,421,"OrderedDict([('model__max_features', 0.812396175961375), ('model__max_samples', 0.5859357806982803), ('model__min_samples_leaf', 150), ('model__n_estimators', 421)])",0.838,0.85,0.844,0.841,0.846,0.8438000000000001,0.004118252056394804,45
1,2.619719648361206,0.023590355725236076,0.03085503578186035,0.0025264183176100284,0.7995536420537315,0.7190145932204617,132,386,"OrderedDict([('model__max_features', 0.7995536420537315), ('model__max_samples', 0.7190145932204617), ('model__min_samples_leaf', 132), ('model__n_estimators', 386)])",0.838,0.872,0.868,0.862,0.864,0.8608,0.011906300852909784,41
1,1.9335744380950928,0.013447908665022821,0.022098016738891602,0.005216048755653936,0.7340282839575504,0.9696848688013859,42,175,"OrderedDict([('model__max_features', 0.7340282839575504), ('model__max_samples', 0.9696848688013859), ('model__min_samples_leaf', 42), ('model__n_estimators', 175)])",0.926,0.916,0.916,0.929,0.927,0.9228000000000002,0.005635601121442153,31
1,3.1903798580169678,0.020881992913830732,0.04070892333984375,0.0010729173612582712,0.6170797414229579,0.8876821894139413,90,450,"OrderedDict([('model__max_features', 0.6170797414229579), ('model__max_samples', 0.8876821894139413), ('model__min_samples_leaf', 90), ('model__n_estimators', 450)])",0.861,0.875,0.867,0.873,0.878,0.8708,0.006079473661428271,38
1,2.638729381561279,0.0433299128628961,0.037361431121826175,0.002226938715714584,0.5434035242872449,0.9600046132186582,125,435,"OrderedDict([('model__max_features', 0.5434035242872449), ('model__max_samples', 0.9600046132186582), ('model__min_samples_leaf', 125), ('model__n_estimators', 435)])",0.863,0.881,0.873,0.878,0.872,0.8734,0.006151422599691885,37
1,1.88898663520813,0.038947516620059346,0.022148704528808592,0.0033981682487412264,0.955478030831942,0.8503107223106829,218,266,"OrderedDict([('model__max_features', 0.955478030831942), ('model__max_samples', 0.8503107223106829), ('model__min_samples_leaf', 218), ('model__n_estimators', 266)])",0.838,0.85,0.844,0.841,0.846,0.8438000000000001,0.004118252056394804,45
1,0.36239376068115237,0.014817256288657538,0.018014907836914062,0.0019261678678974081,0.003631303624435972,0.9089150098318758,186,202,"OrderedDict([('model__max_features', 0.003631303624435972), ('model__max_samples', 0.9089150098318758), ('model__min_samples_leaf', 186), ('model__n_estimators', 202)])",0.854,0.861,0.862,0.868,0.846,0.8581999999999999,0.00754718490564529,42
1,1.4224167823791505,0.04014632208786664,0.013679027557373047,0.0009394846520907152,0.72392502226267,1.0,10,100,"OrderedDict([('model__max_features', 0.72392502226267), ('model__max_samples', 1.0), ('model__min_samples_leaf', 10), ('model__n_estimators', 100)])",0.939,0.937,0.936,0.94,0.941,0.9385999999999999,0.001854723699099092,24
1,1.785048818588257,0.026540884548357475,0.014930009841918945,0.0017126744688032351,1.0,0.5926647485466463,1,100,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 0.5926647485466463), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.944,0.936,0.942,0.949,0.935,0.9411999999999999,0.005192301994298824,22
1,0.40861220359802247,0.019712586423977448,0.02545623779296875,0.004033541009627573,1e-06,0.5,1,100,"OrderedDict([('model__max_features', 1e-06), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.919,0.92,0.908,0.92,0.906,0.9145999999999999,0.0062481997407253295,33
1,9.329236364364624,0.16350914886425286,0.051654911041259764,0.006129594449442008,1.0,0.9258556242576019,18,500,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 0.9258556242576019), ('model__min_samples_leaf', 18), ('model__n_estimators', 500)])",0.927,0.923,0.929,0.934,0.924,0.9274000000000001,0.003929376540877704,27
1,1.1244022846221924,0.014860800789247267,0.013576316833496093,0.0013851118905180678,1.0,0.5,18,100,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 0.5), ('model__min_samples_leaf', 18), ('model__n_estimators', 100)])",0.927,0.92,0.918,0.929,0.926,0.924,0.004242640687119289,29
1,2.0896624088287354,0.042419021557918254,0.014961862564086914,0.002523538738345503,1.0,0.8151250815493983,1,100,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 0.8151250815493983), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.937,0.94,0.936,0.942,0.931,0.9372,0.0037629775444453146,26
1,2.397879791259766,0.0376098897415025,0.014004182815551759,0.0007623227338843732,1.0,1.0,1,100,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.937,0.944,0.939,0.94,0.934,0.9388,0.0033105890714493287,23
1,5.159251594543457,0.059793317986193445,0.04840240478515625,0.0035419054823735913,0.612309351507587,0.679365161646176,1,457,"OrderedDict([('model__max_features', 0.612309351507587), ('model__max_samples', 0.679365161646176), ('model__min_samples_leaf', 1), ('model__n_estimators', 457)])",0.946,0.948,0.944,0.945,0.939,0.9443999999999999,0.0030066592756745844,13
1,0.4249525547027588,0.008170138955233984,0.022696781158447265,0.0018847316030932441,0.0011022089395959149,0.8138444052453963,54,213,"OrderedDict([('model__max_features', 0.0011022089395959149), ('model__max_samples', 0.8138444052453963), ('model__min_samples_leaf', 54), ('model__n_estimators', 213)])",0.883,0.881,0.869,0.884,0.88,0.8794000000000001,0.0053888774341229965,35
1,5.241177415847778,0.042655495306934514,0.05121164321899414,0.0028918730258695046,0.7204702547205559,0.5,1,500,"OrderedDict([('model__max_features', 0.7204702547205559), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.944,0.943,0.941,0.944,0.941,0.9426,0.001356465996625055,20
1,2.866686296463013,0.01259726100746506,0.037943553924560544,0.0020845452628079648,0.44302688849487565,0.752983184160382,1,300,"OrderedDict([('model__max_features', 0.44302688849487565), ('model__max_samples', 0.752983184160382), ('model__min_samples_leaf', 1), ('model__n_estimators', 300)])",0.942,0.95,0.942,0.947,0.946,0.9453999999999999,0.0030724582991474457,4
1,0.33652124404907224,0.005610906887417429,0.019479799270629882,0.002764609884862473,1e-06,0.5296636478488917,122,200,"OrderedDict([('model__max_features', 1e-06), ('model__max_samples', 0.5296636478488917), ('model__min_samples_leaf', 122), ('model__n_estimators', 200)])",0.846,0.858,0.858,0.862,0.85,0.8548,0.005878775382679633,44
1,0.38303003311157224,0.0034184297156075218,0.019299983978271484,0.0022808317824600383,0.0007643259599014852,0.755059681305325,249,230,"OrderedDict([('model__max_features', 0.0007643259599014852), ('model__max_samples', 0.755059681305325), ('model__min_samples_leaf', 249), ('model__n_estimators', 230)])",0.844,0.843,0.831,0.852,0.836,0.8412,0.007194442299441986,48
1,1.3239069938659669,0.014311710852043576,0.015346908569335937,0.0014831685464252,0.5244567172563277,1.0,1,100,"OrderedDict([('model__max_features', 0.5244567172563277), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.942,0.95,0.943,0.95,0.941,0.9452,0.003969886648255845,5
1,1.8838531970977783,0.011823707791940846,0.02654566764831543,0.003541423557958942,0.9677635700160887,0.5494299735586599,250,388,"OrderedDict([('model__max_features', 0.9677635700160887), ('model__max_samples', 0.5494299735586599), ('model__min_samples_leaf', 250), ('model__n_estimators', 388)])",0.8,0.82,0.807,0.822,0.82,0.8138,0.008726969691708527,50
1,5.705047130584717,0.06399446659418837,0.03656625747680664,0.0013480660255129264,0.7300349656559479,1.0,1,328,"OrderedDict([('model__max_features', 0.7300349656559479), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 328)])",0.941,0.945,0.945,0.942,0.939,0.9423999999999999,0.002332380757938122,21
1,2.923471212387085,0.026553458113864486,0.044839000701904295,0.0014866539415010654,0.32549992285007157,0.8788384080425387,9,399,"OrderedDict([('model__max_features', 0.32549992285007157), ('model__max_samples', 0.8788384080425387), ('model__min_samples_leaf', 9), ('model__n_estimators', 399)])",0.936,0.941,0.938,0.94,0.938,0.9385999999999999,0.0017435595774162379,24
1,5.786862897872925,0.0462814725214822,0.05508189201354981,0.0024134795743500762,0.4810231809291408,1.0,1,500,"OrderedDict([('model__max_features', 0.4810231809291408), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.943,0.948,0.947,0.949,0.939,0.9452,0.003709447398198285,5
1,0.35297770500183107,0.006348376562784343,0.020839786529541014,0.0014155197132631908,1e-06,1.0,1,100,"OrderedDict([('model__max_features', 1e-06), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.927,0.925,0.912,0.923,0.902,0.9178000000000001,0.009453041838477188,32
1,6.783028030395508,0.0589117935837048,0.05762538909912109,0.004396940122038014,0.4932663492307737,1.0,1,500,"OrderedDict([('model__max_features', 0.4932663492307737), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.945,0.946,0.942,0.948,0.941,0.9444000000000001,0.0025768197453450276,12
