dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,0.4402780532836914,0.012107982735040837,0.009453201293945312,0.0006611726714204372,0.0001,0.01,8,0,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.01), ('model__max_depth', 8), ('model__min_child_weight', 0)])",0.933,0.931,0.922,0.931,0.931,0.9296,0.0038781438859330666,46
1,0.11298537254333496,0.00808718597546793,0.010206317901611328,0.000291863318875762,3.8854041988258676,0.10036256308466984,14,17,"OrderedDict([('model__alpha', 3.8854041988258676), ('model__eta', 0.10036256308466984), ('model__max_depth', 14), ('model__min_child_weight', 17)])",0.943,0.945,0.941,0.951,0.942,0.9443999999999999,0.0035552777669262386,32
1,0.13517179489135742,0.005274196365935796,0.012093400955200196,0.001047639045554594,0.0001,0.06417746390366932,12,19,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.06417746390366932), ('model__max_depth', 12), ('model__min_child_weight', 19)])",0.942,0.937,0.939,0.946,0.939,0.9406000000000001,0.0031368774282716015,41
1,0.19257445335388185,0.004914661058376839,0.01027665138244629,0.0020216522844969027,4.643945573400464,0.06174674077698205,6,0,"OrderedDict([('model__alpha', 4.643945573400464), ('model__eta', 0.06174674077698205), ('model__max_depth', 6), ('model__min_child_weight', 0)])",0.949,0.946,0.945,0.947,0.944,0.9461999999999999,0.0017204650534085267,22
1,0.2304063320159912,0.0061032881832214095,0.013965082168579102,0.0009596096165834714,5.482219021451786,0.06769826640994317,19,2,"OrderedDict([('model__alpha', 5.482219021451786), ('model__eta', 0.06769826640994317), ('model__max_depth', 19), ('model__min_child_weight', 2)])",0.945,0.949,0.941,0.95,0.948,0.9466000000000001,0.0032619012860600205,21
1,0.35842061042785645,0.009854513456128063,0.013570690155029297,0.0018552957683751915,3.575133942535851,0.07975558387732536,9,0,"OrderedDict([('model__alpha', 3.575133942535851), ('model__eta', 0.07975558387732536), ('model__max_depth', 9), ('model__min_child_weight', 0)])",0.945,0.955,0.945,0.954,0.95,0.9498,0.004261455150532507,3
1,0.23387107849121094,0.009754793812810242,0.011969614028930663,0.001044290821156175,10.0,0.06673974410558403,8,0,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.06673974410558403), ('model__max_depth', 8), ('model__min_child_weight', 0)])",0.947,0.948,0.951,0.949,0.944,0.9478,0.0023151673805580472,16
1,0.2728142738342285,0.008566022114844168,0.012839651107788086,0.0012054120867525842,8.860570964981287,0.013216204838170017,11,1,"OrderedDict([('model__alpha', 8.860570964981287), ('model__eta', 0.013216204838170017), ('model__max_depth', 11), ('model__min_child_weight', 1)])",0.934,0.933,0.931,0.939,0.934,0.9342,0.002638181191654546,44
1,0.16194591522216797,0.007423076198934939,0.008258199691772461,0.00040889731916164706,0.0015673259287177128,0.10084220511442887,5,0,"OrderedDict([('model__alpha', 0.0015673259287177128), ('model__eta', 0.10084220511442887), ('model__max_depth', 5), ('model__min_child_weight', 0)])",0.947,0.945,0.947,0.95,0.95,0.9478,0.0019390719429665333,16
1,0.15493431091308593,0.007301412403374024,0.012161350250244141,0.0005124179738876964,6.6378596444950055,0.1007698263132665,8,4,"OrderedDict([('model__alpha', 6.6378596444950055), ('model__eta', 0.1007698263132665), ('model__max_depth', 8), ('model__min_child_weight', 4)])",0.951,0.946,0.948,0.95,0.949,0.9488,0.0017204650534085267,10
1,0.3208584785461426,0.0096479070512872,0.015799617767333983,0.0015287323780194583,0.00012039731888252633,0.09992101080570705,18,1,"OrderedDict([('model__alpha', 0.00012039731888252633), ('model__eta', 0.09992101080570705), ('model__max_depth', 18), ('model__min_child_weight', 1)])",0.943,0.951,0.943,0.953,0.949,0.9478,0.004118252056394804,16
