dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06175804138183594,0.02520280387612861,0.014841127395629882,0.003071700405554407,9,0.4038361710580408,49,59,"{'model__max_depth': 9, 'model__min_impurity_decrease': 0.4038361710580408, 'model__min_samples_leaf': 49, 'model__min_samples_split': 59}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04759550094604492,0.007106017515092062,0.014424753189086915,0.003335934381150825,20,0.2468760628386012,39,3,"{'model__max_depth': 20, 'model__min_impurity_decrease': 0.2468760628386012, 'model__min_samples_leaf': 39, 'model__min_samples_split': 3}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04966750144958496,0.009461992976389465,0.011948537826538087,0.0018207022540704788,3,0.30087830981676966,49,57,"{'model__max_depth': 3, 'model__min_impurity_decrease': 0.30087830981676966, 'model__min_samples_leaf': 49, 'model__min_samples_split': 57}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05005922317504883,0.01146610115760238,0.017543506622314454,0.008334454082889553,17,0.266781014275285,2,3,"{'model__max_depth': 17, 'model__min_impurity_decrease': 0.266781014275285, 'model__min_samples_leaf': 2, 'model__min_samples_split': 3}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05127277374267578,0.010898113062542914,0.014230155944824218,0.0021013042297424373,28,0.05147875124998935,37,33,"{'model__max_depth': 28, 'model__min_impurity_decrease': 0.05147875124998935, 'model__min_samples_leaf': 37, 'model__min_samples_split': 33}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05706472396850586,0.010451128820078242,0.014329338073730468,0.0016750417356003165,1,0.6343513447013638,2,54,"{'model__max_depth': 1, 'model__min_impurity_decrease': 0.6343513447013638, 'model__min_samples_leaf': 2, 'model__min_samples_split': 54}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04967608451843262,0.00938074985966141,0.017096805572509765,0.006411657947790926,12,0.44778316457309164,6,33,"{'model__max_depth': 12, 'model__min_impurity_decrease': 0.44778316457309164, 'model__min_samples_leaf': 6, 'model__min_samples_split': 33}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04597797393798828,0.005430538829713812,0.01352548599243164,0.0017725284061492132,23,0.6721355474058786,11,57,"{'model__max_depth': 23, 'model__min_impurity_decrease': 0.6721355474058786, 'model__min_samples_leaf': 11, 'model__min_samples_split': 57}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05354771614074707,0.004741327409380668,0.016140079498291014,0.003971317947277516,27,0.24215993827742588,38,25,"{'model__max_depth': 27, 'model__min_impurity_decrease': 0.24215993827742588, 'model__min_samples_leaf': 38, 'model__min_samples_split': 25}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04680266380310059,0.002933269701259277,0.0160825252532959,0.0032761642687342586,5,0.6323058305935795,6,23,"{'model__max_depth': 5, 'model__min_impurity_decrease': 0.6323058305935795, 'model__min_samples_leaf': 6, 'model__min_samples_split': 23}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05723142623901367,0.018429005637808096,0.014554929733276368,0.001417262035475249,11,0.8164318732193839,16,34,"{'model__max_depth': 11, 'model__min_impurity_decrease': 0.8164318732193839, 'model__min_samples_leaf': 16, 'model__min_samples_split': 34}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05375828742980957,0.005907306591652526,0.014371776580810547,0.002116707701524082,9,0.32078006497173583,6,17,"{'model__max_depth': 9, 'model__min_impurity_decrease': 0.32078006497173583, 'model__min_samples_leaf': 6, 'model__min_samples_split': 17}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.06301732063293457,0.031716988011682136,0.0216092586517334,0.013371621639372895,29,0.8583588048137198,60,60,"{'model__max_depth': 29, 'model__min_impurity_decrease': 0.8583588048137198, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05699677467346191,0.01267426398591456,0.013390159606933594,0.0031347027460822247,4,0.016587828927856152,3,20,"{'model__max_depth': 4, 'model__min_impurity_decrease': 0.016587828927856152, 'model__min_samples_leaf': 3, 'model__min_samples_split': 20}",0.6958213549380027,0.7044216007975918,0.6985364578796062,0.7308563463716351,0.6788483317362138,0.70169681834461,0.016877587522985262,3
0,0.04719858169555664,0.002874741187546682,0.013095283508300781,0.001612480684498498,20,0.6451727904094499,52,42,"{'model__max_depth': 20, 'model__min_impurity_decrease': 0.6451727904094499, 'model__min_samples_leaf': 52, 'model__min_samples_split': 42}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.047105026245117185,0.002249928708509137,0.013779020309448243,0.004063969207930389,1,0.3975720210875223,39,19,"{'model__max_depth': 1, 'model__min_impurity_decrease': 0.3975720210875223, 'model__min_samples_leaf': 39, 'model__min_samples_split': 19}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04840431213378906,0.006772446755557456,0.015873813629150392,0.002483572620936749,8,0.13752094414599325,28,58,"{'model__max_depth': 8, 'model__min_impurity_decrease': 0.13752094414599325, 'model__min_samples_leaf': 28, 'model__min_samples_split': 58}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
